idx,x,y
2379,11.864434429584936,9.639384038617443
2380,11.855149061449827,9.643104775880232
2381,11.845856268121624,9.646806929218828
2382,11.836556086794527,9.65049048381544
2383,11.827248554692304,9.654155424926728
2384,11.817933709068145,9.657801737883842
2385,11.808611587204513,9.661429408092497
2386,11.799282226413,9.665038421033023
2387,11.78994566403416,9.668628762260425
2388,11.780601937437382,9.672200417404444
2389,11.771251084020722,9.675753372169602
2390,11.761893141210766,9.679287612335285
2391,11.752528146462474,9.682803123755772
2392,11.743156137259025,9.686299892360303
2393,11.733777151111687,9.689777904153143
2394,11.724391225559632,9.693237145213626
2395,11.714998398169838,9.696677601696212
2396,11.70559870653687,9.700099259830559
2397,11.696192188282799,9.703502105921546
2398,11.686778881057004,9.70688612634936
2399,11.677358822536032,9.71025130756954
2400,11.667932050423463,9.713597636113013
2401,11.658498602449745,9.71692509858618
2402,11.64905851637205,9.72023368167094
2403,11.639611829974104,9.723523372124772
2404,11.630158581066066,9.726794156780752
2405,11.620698807484354,9.730046022547645
2406,11.611232547091506,9.733278956409924
2407,11.60175983777601,9.736492945427848
2408,11.592280717452189,9.739687976737493
2409,11.582795224060002,9.742864037550818
2410,11.573303395564933,9.74602111515571
2411,11.563805269957811,9.749159196916036
2412,11.554300885254678,9.752278270271693
2413,11.544790279496622,9.755378322738661
2414,11.53527349074963,9.758459341909044
2415,11.525750557104438,9.761521315451134
2416,11.516221516676385,9.764564231109448
2417,11.506686407605235,9.767588076704785
2418,11.497145268055059,9.770592840134269
2419,11.48759813621405,9.7735785093714
2420,11.478045050294394,9.776545072466106
2421,11.46848604853211,9.779492517544782
2422,11.45892116918689,9.782420832810342
2423,11.449350450541951,9.78533000654227
2424,11.439773930903884,9.788220027096664
2425,11.430191648602495,9.79109088290628
2426,11.420603641990656,9.79394256248058
2427,11.411009949444153,9.796775054405783
2428,11.401410609361529,9.7995883473449
2429,11.391805660163934,9.802382430037786
2430,11.382195140294955,9.805157291301192
2431,11.372579088220498,9.807912920028793
2432,11.362957542428584,9.810649305191248
2433,11.353330541429248,9.813366435836235
2434,11.343698123754343,9.816064301088499
2435,11.334060327957417,9.818742890149894
2436,11.324417192613522,9.821402192299427
2437,11.314768756319108,9.824042196893297
2438,11.305115057691811,9.826662893364949
2439,11.295456135370356,9.8292642712251
2440,11.285792028014368,9.831846320061793
2441,11.27612277430422,9.834409029540437
2442,11.266448412940887,9.836952389403839
2443,11.256768982645784,9.839476389472262
2444,11.247084522160621,9.841981019643448
2445,11.237395070247233,9.844466269892674
2446,11.227700665687438,9.84693213027278
2447,11.218001347282874,9.849378590914212
2448,11.208297153854856,9.851805642025067
2449,11.198588124244193,9.854213273891125
2450,11.188874297311074,9.856601476875893
2451,11.179155711934865,9.858970241420643
2452,11.16943240701399,9.86131955804445
2453,11.159704421465767,9.863649417344218
2454,11.149971794226243,9.865959809994743
2455,11.140234564250042,9.868250726748727
2456,11.130492770510212,9.870522158436827
2457,11.12074645199806,9.872774095967692
2458,11.110995647723023,9.875006530327985
2459,11.10124039671247,9.877219452582441
2460,11.091480738011583,9.879412853873884
2461,11.081716710683175,9.88158672542328
2462,11.071948353807555,9.883741058529749
2463,11.062175706482352,9.885875844570625
2464,11.05239880782237,9.887991075001473
2465,11.042617696959429,9.89008674135613
2466,11.032832413042211,9.892162835246738
2467,11.023042995236105,9.894219348363775
2468,11.013249482723024,9.896256272476098
2469,11.003451914701305,9.898273599430954
2470,10.993650330385478,9.900271321154047
2471,10.983844769006176,9.902249429649535
2472,10.974035269809942,9.90420791700008
2473,10.964221872059083,9.906146775366885
2474,10.9544046150315,9.908065996989707
2475,10.944583538020552,9.90996557418691
2476,10.934758680334877,9.911845499355472
2477,10.924930081298253,9.913705764971038
2478,10.915097780249434,9.915546363587934
2479,10.905261816541985,9.917367287839205
2480,10.895422229544133,9.919168530436645
2481,10.885579058638607,9.920950084170816
2482,10.875732343222483,9.92271194191109
2483,10.865882122707015,9.924454096605672
2484,10.8560284365175,9.926176541281626
2485,10.846171324093097,9.927879269044904
2486,10.836310824886684,9.929562273080375
2487,10.826446978364682,9.931225546651856
2488,10.816579824006931,9.932869083102126
2489,10.806709401306485,9.934492875852971
2490,10.7968357497695,9.936096918405196
2491,10.786958908915048,9.937681204338656
2492,10.777078918274965,9.93924572731228
2493,10.767195817393695,9.9407904810641
2494,10.75730964582813,9.942315459411274
2495,10.747420443147451,9.94382065625011
2496,10.73752824893298,9.945306065556089
2497,10.727633102777999,9.946771681383897
2498,10.717735044287616,9.948217497867434
2499,10.707834113078587,9.949643509219856
2500,10.697930348779177,9.951049709733581
2501,10.688023791028973,9.952436093780324
2502,10.678114479478765,9.953802655811113
2503,10.66820245379034,9.955149390356315
2504,10.658287753636376,9.956476292025654
2505,10.648370418700232,9.957783355508234
2506,10.638450488675824,9.959070575572564
2507,10.628528003267459,9.960337947066574
2508,10.618603002189651,9.961585464917636
